ID,name,country_name,country_id,totalptswon,aces,1st_servepct,1st_servewonpct,2nd_servewonpct,serve_rating,totalgamesplayed,totalgameswon,matcheswon,1st_servereturnwonpct,doublefaults,return_to_service_pts,aces_dfs_ratio,pts_dominance,returngamewon_pct,pt_time(secs),matches_played,games_dominance,breakpts_wonpct,aces_pct,service_games_wonpct,matches_wonpct,pts_won_per_rtngame,upsets_againstpct,tie_breakswon_pct
1,Roger Federer,Switzerland,SUI,126557,11368,62.11,77.43,57.03,360.3,38694,22487,1237,32.39,2745,1.072,4.141,1.307,26.66,36.98,1509,2.383,70.53,9.86,90.45,82.61,2.551,13.04,76.67
2,Feliciano Lopez,Spain,ESP,76845,9908,58.6,76.34,51.94,345.2,25101,12443,496,26.1,3220,0.987,3.077,0.973,15.44,37.36,957,0.963,67.24,14.37,84.67,41.51,1.943,21.15,41.67
3,Rafael Nadal,Spain,ESP,97328,3685,68.26,72.19,57.49,352.3,28857,17287,1006,34.23,1899,1.067,1.94,1.305,33.41,45.39,1210,2.369,67.66,6.71,89.8,85.44,2.763,13.59,57.14
4,Fernando Verdasco,Spain,ESP,79577,5310,67.14,70.94,51.09,334.5,24763,12931,552,30.46,3790,1.03,1.401,1.072,23.86,39.75,976,1.224,65.15,8.71,80.3,47.69,2.347,26.15,47.62
5,Tommy Robredo,Spain,ESP,69691,3233,64.8,69.44,51.88,327,21866,11325,533,30.73,2038,1.023,1.586,1.054,25.47,39.08,890,1.178,41.27,,,,,,
6,Marin Cilic,Croatia,CRO,66851,7182,56.61,76.82,52.56,341.7,21046,11265,520,30.1,2310,1.036,3.109,1.121,22.7,39.9,808,1.409,65.5,11.16,82.36,53.25,2.3,25.97,51.06
7,Philipp Kohlschreiber,Germany,GER,64880,4592,60.41,72.13,53.88,335.5,20833,10798,470,29.19,1728,1.022,2.657,1.057,22.16,38.76,846,1.205,64.13,6.24,80.84,45.1,2.27,19.61,
8,Kei Nishikori,Japan,JPN,48533,1979,61.27,70.72,53.03,326.9,15210,8142,411,30.46,1561,1.029,1.268,1.093,26.78,40.12,612,1.347,56.45,2.95,76.72,56.9,2.552,27.59,55.56
9,Stan Wawrinka,Switzerland,SUI,70527,5900,57.96,73.69,53.78,337.9,22688,12017,533,29.97,2123,1.006,2.779,1.082,22.64,39.41,842,1.318,67.95,11,85.22,62.82,2.291,19.23,57.14
10,Gilles Simon,France,FRA,69402,3672,57.26,69.47,51.55,317.5,21485,11081,494,31.34,1944,0.999,1.889,1.042,26.81,40.4,867,1.134,59.51,4.96,74.4,47.5,2.61,28.75,44.83
11,Novak Djokovic,Serbia,SRB,94524,6026,64.92,73.66,55.43,349.4,28213,16718,943,33.65,2529,1.048,2.383,1.287,32.05,42.16,1134,2.265,65.58,8.26,87.57,87.39,2.803,12.61,79.07
12,Gael Monfils,France,FRA,62739,6222,62.5,72.8,49.89,333.3,19530,10349,493,31.85,2696,1.02,2.308,1.077,25.1,38.36,773,1.306,62.67,8.21,81.15,65.43,2.528,24.69,54.29
13,Andy Murray,United Kingdom,GBR,73382,5832,58.06,74.45,51.88,333.9,22262,12656,677,33.32,2168,1.046,2.69,1.193,31.2,41.76,879,1.72,57.61,8.34,78.27,,2.335,,55
14,Richard Gasquet,France,FRA,68108,4720,61.71,73.08,53.18,335.1,21432,11465,550,30.27,2043,1.017,2.31,1.107,24.75,38.83,882,1.374,62.6,7.09,78.48,50,2.179,18.97,64.29
15,Grigor Dimitrov,Bulgaria,BUL,44748,3775,62.19,74.43,51.19,337.8,13949,7347,329,29.64,1893,1.008,1.994,1.082,21.95,38.75,545,1.255,64.27,7.09,80.81,56.79,2.557,25.93,38
16,John Isner,United States,USA,61716,12699,69.14,78.62,56.12,384.9,20301,10415,436,22.51,1566,1.001,8.109,1.051,10.38,37.37,708,1.268,72.22,25.54,92.97,58.9,1.786,28.77,58.75
17,Andreas Seppi,Italy,ITA,60863,3703,58.19,70.47,50.13,317.1,20017,9906,377,29.35,2073,1.009,1.786,0.99,22.87,38.76,783,0.96,57.4,6.87,75.86,44.83,2.315,22.41,61.54
18,Fabio Fognini,Italy,ITA,52968,2210,59.03,67.61,48.32,303,17128,8500,370,31.71,2654,0.981,0.833,0.976,27.14,38.64,691,0.968,58.07,4.75,73.85,51.22,2.406,37.8,60
19,Juan Martin Del Potro,Argentina,ARG,48377,4458,63.81,74.5,53.14,346.6,15184,8384,439,29.96,1364,1.038,3.268,1.161,25.28,44.13,612,1.683,63.46,12.4,,,,,
20,Milos Raonic,Canada,CAN,44372,8130,62.87,81.45,55.17,375.9,14377,7755,372,26.91,1714,1.049,4.743,1.202,15.98,38.85,544,1.82,72.8,22.71,93.03,67.57,2.237,24.32,59.26
21,Kevin Anderson,South Africa,RSA,48222,7222,64.56,76.9,52.96,358.9,15312,7941,341,26.33,1710,1.024,4.223,1.086,16.38,39.28,578,1.23,67.26,15.75,85.1,,2.087,,42.86
22,Alexander Zverev,Germany,GER,32618,3222,64.09,73.9,49.48,334.3,9974,5299,255,30.46,1665,1.031,1.935,1.098,24.89,38.16,384,1.337,60.39,12.99,81.16,66.67,2.596,22.5,59.68
23,Dominic Thiem,Austria,AUT,38127,2680,60.31,74.15,53.18,337.7,11758,6261,301,30.28,1270,1.04,2.11,1.107,23.77,38.27,461,1.41,63.45,6.57,83.94,72.22,2.446,25,56.67
24,Ivo Karlovic,Croatia,CRO,58935,13687,65.51,82.71,53.3,383.7,19869,9995,370,21.22,2451,1.007,5.584,1.02,8.48,36.14,713,1.06,68.1,22.75,91.27,,1.505,,45.95
25,Sam Querrey,United States,USA,54861,8448,59.12,78.88,50.36,347.7,17794,9144,374,26.77,2245,1.012,3.763,1.051,17.58,35.13,680,1.168,59.11,19.78,85.07,51.79,2.137,21.82,56.82
26,Roberto Bautista Agut,Spain,ESP,41575,1611,65.98,69.82,53.98,333.6,12602,6762,319,30.52,977,1.027,1.649,1.114,26.5,38.7,507,1.35,59.45,4.79,82.12,64.49,2.644,26.42,43.59
27,Jeremy Chardy,France,FRA,46319,4708,60.16,74.19,49.48,332.4,14635,7293,289,27.29,2422,1.002,1.944,0.993,19.01,38.17,581,0.989,63.43,9.47,80.65,50,2.236,13.16,44.23
28,Benoit Paire,France,FRA,38674,4035,51.89,74.46,45.8,310.6,11879,5828,225,31.5,2341,0.984,1.724,0.967,23.7,34.01,472,0.93,59.86,11.2,75.49,46.74,2.427,36.96,45.65
29,David Goffin,Belgium,BEL,37682,2526,58.37,71.72,50.53,320.9,11901,6285,286,31.17,1593,1.028,1.586,1.073,27.57,37.87,475,1.243,56.3,7.45,76.83,56.44,2.585,32.67,50
30,Albert Ramos,Spain,ESP,37272,1648,61.88,67.85,51.63,319.6,11659,5776,227,29.56,1210,0.998,1.362,0.977,23.01,42.45,477,0.974,61.84,3.5,77.63,53.26,2.46,18.48,30.23
31,Viktor Troicki,Serbia,SRB,41949,4225,60.83,72.4,47.33,324.1,13869,6929,294,30.33,1351,1.012,3.127,1.01,23.13,37.78,565,0.999,62.63,9.39,,,,,
32,Jo Wilfried Tsonga,France,FRA,56509,6633,62.1,77.73,52.89,356.1,18127,9751,465,28.74,1616,1.018,4.105,1.128,20.05,38.58,691,1.554,66.29,13.71,86.28,57.41,2.055,14.81,67.86
33,Pablo Cuevas,Uruguay,URU,32403,2437,60.33,71.78,51.8,327.6,10966,5547,232,29.26,1150,1.008,2.119,1.015,20.95,38.5,440,1.005,59.17,7.4,79.52,47.3,2.241,24.32,48.28
34,Stefanos Tsitsipas,Greece,GRE,18655,1551,61.77,75.94,54.12,346.5,5792,3087,144,28.47,511,1.013,3.035,1.108,20.11,41.91,225,1.399,63.91,8.65,86.73,69.23,2.344,21.13,62.82
35,Marcel Granollers,Spain,ESP,33577,1832,61.14,68.72,49.35,312.5,10764,5202,202,30.31,1045,1.013,1.753,0.968,22.99,41.94,452,0.889,54.55,7.34,80.43,,2.252,,
36,Robin Haase,Netherlands,NED,38137,3126,59.44,71.87,49.45,323.8,12974,6418,229,28.39,1324,0.988,2.361,0.964,20.42,37.28,499,0.928,62.69,8.8,79.84,,2.222,,33.33
37,Ernests Gulbis,Latvia,LAT,35935,4245,60.17,75.24,48.49,335.5,12193,6201,245,27.86,1910,0.996,2.223,1.002,18.89,38.88,482,1.01,61.33,10.19,76.43,,1.98,,
38,Karen Khachanov,Russian Federation,RUS,22558,2117,61.68,73.84,51.62,339.5,6954,3587,146,28.29,745,1.023,2.842,1.06,20.91,40.25,262,1.203,63.56,8.17,82.58,55.05,2.428,35.19,47.06
39,Andrey Rublev,Russian Federation,RUS,18468,1399,59.56,73.98,50.47,331.1,5706,3014,146,30.22,681,1.049,2.054,1.103,25.45,37.79,235,1.319,64.3,9.71,84.79,75.38,2.647,7.69,56.36
40,Borna Coric,Croatia,CRO,24283,1811,62.28,72.05,52.85,335.3,7810,3964,165,27.23,679,1.011,2.667,1.026,20.58,40.43,307,1.098,63.92,8.63,82.7,56.98,2.27,31.4,52.94
41,Leonardo Mayer,Argentina,ARG,29574,2329,60.97,73.47,52.53,334.1,9722,4830,179,26.98,1296,1.013,1.797,1.003,17.35,40.35,376,0.953,61.15,7.8,81.91,38.1,2.139,21.43,63.33
